Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
21,87.0,63,2,0,33.33,4,caught,3,v Sri Lanka,Colombo (SSC),2015-08-28,Sri Lanka,Test,No,2015,0
1,5.0,4,0,0,25.0,4,caught,1,v South Africa,Mohali,2015-05-11,India,Test,No,2015,0
29,92.0,71,4,0,40.84,4,caught,3,v South Africa,Mohali,2015-05-11,India,Test,No,2015,0
22,73.0,55,2,0,40.0,4,caught,1,v South Africa,Nagpur,2015-11-25,India,Test,No,2015,0
16,49.0,30,2,0,53.33,4,caught,3,v South Africa,Nagpur,2015-11-25,India,Test,No,2015,0
44,74.0,62,7,0,70.96,4,caught,1,v South Africa,Delhi,2015-03-12,India,Test,No,2015,0
88,259.0,165,10,0,53.33,5,lbw,3,v South Africa,Delhi,2015-03-12,India,Test,No,2015,0
44,144.0,90,4,1,48.88,4,caught,2,v West Indies,Kingston,2016-07-30,West Indies,Test,No,2016,0
3,17.0,8,0,0,37.5,3,caught,1,v West Indies,Gros Islet,2016-09-08,West Indies,Test,No,2016,0
4,21.0,17,0,0,23.52,3,lbw,3,v West Indies,Gros Islet,2016-09-08,West Indies,Test,No,2016,0
9,12.0,10,2,0,90.0,4,caught,1,v New Zealand,Kanpur,2016-09-22,India,Test,No,2016,0
18,45.0,40,3,0,45.0,4,caught,3,v New Zealand,Kanpur,2016-09-22,India,Test,No,2016,0
9,42.0,28,1,0,32.14,4,caught,1,v New Zealand,Eden Gardens,2016-09-30,India,Test,No,2016,0
45,82.0,65,7,0,69.23,4,lbw,3,v New Zealand,Eden Gardens,2016-09-30,India,Test,No,2016,0
211,536.0,366,20,0,57.65,4,lbw,1,v New Zealand,Indore,2016-08-10,India,Test,Yes,2016,1
17,36.0,28,1,0,60.71,4,lbw,3,v New Zealand,Indore,2016-08-10,India,Test,No,2016,0
40,135.0,95,5,0,42.1,4,hit wicket,2,v England,Rajkot,2016-09-11,India,Test,No,2016,0
49,129.0,98,6,0,50.0,4,not out,4,v England,Rajkot,2016-09-11,India,Test,No,2016,0
167,401.0,267,18,0,62.54,4,caught,1,v England,Visakhapatnam,2016-11-17,India,Test,Yes,2016,1
81,172.0,109,8,0,74.31,4,caught,3,v England,Visakhapatnam,2016-11-17,India,Test,No,2016,0
62,161.0,127,9,0,48.81,4,caught,2,v England,Mohali,2016-11-26,India,Test,No,2016,0
6,11.0,11,0,0,54.54,4,not out,4,v England,Mohali,2016-11-26,India,Test,No,2016,0
235,515.0,340,25,1,69.11,4,caught,2,v England,Wankhede,2016-08-12,India,Test,Yes,2016,1
15,44.0,29,1,0,51.72,4,caught,2,v England,Chennai,2016-12-16,India,Test,No,2016,0
204,295.0,246,24,0,82.92,4,lbw,1,v Bangladesh,Hyderabad (Deccan),2017-09-02,India,Test,Yes,2017,1
38,51.0,40,2,1,95.0,4,caught,3,v Bangladesh,Hyderabad (Deccan),2017-09-02,India,Test,No,2017,0
